gaia_dr3_id,log_bf_PR,log_bf_PR_std,period,period_std,ra,dec,bp_rp,mean_mag_g_fov,quaia_unwise_id,CatNorth_CATWISE2020_id,CatNorth_PS1_id,AllWISE,AllWISE_R90_id,AllWISE_C75_id,Milliquas_v65_id,SDSS_DR14Q_id,LQAC_v5,Gaia_unWISE_id
44567982277833984,3.2855491833220456,1.2894233247589812,502.8886919864078,11.384988653503331,55.70087476851313,17.6333339983786,0.8308506,20.216707,0555p181o0004099,0555p181_b0-009714,129160557008860626,,J034248.22+173759.7,J034248.22+173759.7,SDSS J034248.21+173800.0,,,0555p181o0004099
2407922424651417344,3.435277964689333,1.8314030871159273,539.1853822230576,10.093247590590575,354.2524815748619,-14.557572587936969,0.68805695,19.432816,3537m152o0018381,3537m152_b0-002368,90533542524611294,J233700.59-143327.2,J233700.59-143327.2,J233700.59-143327.2,WISEA J233700.59-143327.2,,,3537m152o0018381
1270114875599306112,4.574718798375431,2.9023166626769052,574.839148867515,7.595436877738741,230.37988809744058,25.434565986609975,0.6002865,19.537634,2300p257o0008446,2300p257_b0-010530,138522303799192094,J152131.17+252604.5,J152131.17+252604.5,J152131.17+252604.5,SDSS J152131.17+252604.4,152131.17+252604.4,LQAC_230+025_033,2300p257o0008446
2482974779125235584,3.088276463450431,1.7086942789569932,513.6185386581978,9.833293259652276,17.327540820329926,-4.802565055652174,0.52829933,19.851114,0167m046o0007271,0167m046_b0-004196,102230173275487422,J010918.61-044809.0,J010918.61-044809.0,J010918.61-044809.0,WISEA J010918.61-044809.0,,,0167m046o0007271
2509986073263441280,3.9335299297979707,2.1750330744380313,554.8463060497015,14.200082566511893,22.909118741516394,-0.17083771718974528,0.5701027,19.601595,0226p000o0008864,0226p000_b0-016437,107790229091075460,,,J013138.18-001014.5,SDSS J013138.18-001015.0,013138.18-001015.0,LQAC_022-000_048,0226p000o0008864
2511716116154871680,3.2958151672071283,1.4967579899661856,444.9040263277949,10.42395018979201,29.04878412671934,2.589525925509607,0.7184086,19.662704,0287p030o0025400,0287p030_b0-007195,111100290487847885,,,,SDSS J015611.70+023522.3,015611.70+023522.3,LQAC_029+002_040,0287p030o0025400
2554847968743026816,3.2712665467580004,1.2974204931338431,627.1524496552141,20.066537808173862,8.048778360609116,4.624838090837972,0.81009865,19.930744,,0075p045_b0-001683,113550080487640289,J003211.70+043729.5,J003211.70+043729.5,J003211.70+043729.5,WISEA J003211.70+043729.5,,,0075p045o0013353
2566375519230701056,3.066396587229977,1.521859317097328,390.21159490220737,10.337255868085544,21.126084329202246,7.568439624792337,0.935915,19.752832,0213p075o0010920,0213p075_b0-003757,117080211260752565,,,,SDSS J012430.26+073406.4,012430.26+073406.4,LQAC_021+007_014,0213p075o0010920
2568373301794109056,3.274926014821508,1.443428075931762,155.27388369210988,1.7072764379535739,27.61435044013113,7.166192668473229,0.43517303,19.102604,0274p075o0005551,0274p075_b0-001309,116590276143299907,J015027.44+070958.2,J015027.44+070958.2,J015027.44+070958.2,SDSS J015027.43+070958.2,,,0274p075o0005551
2611562526554715136,3.533845926622861,2.008431867432494,589.041430638435,18.40289002785045,343.54898301554243,-6.762997710696731,0.44831085,18.825668,3432m061o0001071,3432m061_b0-003521,99883435489084806,J225411.77-064547.1,J225411.77-064547.1,J225411.77-064547.1,WISEA J225411.77-064547.1,,,3432m061o0001071
2660961453686811776,3.4904297448103474,1.646791458989571,119.92483659965009,0.9751484960535228,350.5798447435505,5.200871586139775,0.89619637,20.18558,3508p045o0021354,3508p045_b0-003032,114243505798031536,J232219.15+051203.0,J232219.15+051203.0,J232219.15+051203.0,SDSS J232219.15+051203.0,,,3508p045o0021354
2692135185314992000,3.2923409246349253,1.5846661471126693,496.93203914574167,7.20403547735735,319.3565203666203,1.9444747170679775,0.51659393,19.368134,3191p015o0024592,3191p015_b0-006475,110333193564723745,J211725.56+015640.1,J211725.56+015640.1,J211725.56+015640.1,SDSS J211725.57+015640.1,,,3191p015o0024592
2693462948684386304,4.291284173043708,3.1786226078470916,468.7517215441351,7.633780849453511,325.6204289884213,1.0024093872753341,0.58589745,20.41619,3252p015o0004913,3252p015_b0-022753,109203256204523392,,,J214228.89+010009.0,SDSS J214228.89+010008.6,214228.89+010008.6,LQAC_325+001_010,3252p015o0004913
2730890908609838336,3.461178628956196,1.9627587409755107,470.1221478723912,15.29978079088953,337.41904542193413,12.331098967944252,0.9796219,19.414871,3368p121o0017409,3368p121_b0-007314,122793374190387804,,J222940.57+121952.0,J222940.57+121952.0,SDSS J222940.56+121951.9,,,3368p121o0017409
2734475660117468416,3.0966297633566215,1.6368913404804362,526.675320793911,15.461509704686005,336.5993216719581,14.548396987602228,0.645483,19.873573,3365p151o0032020,3365p151_b0-010208,125453365993278646,,,,SDSS J222623.83+143254.1,,,3365p151o0032020
